id,address,bad_address,PO,score,precision,precise_geocode,fips_tract_id,fraction_assisted_income,fraction_high_school_edu,median_income,fraction_no_health_ins,fraction_poverty,fraction_vacant_housing,dep_index,lat,lon,fips_block_group_id,total_crime,personal_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,motor_vehicle_theft
65100520093,4228 FRANKLIN AV NORWOOD OH 45212,FALSE,FALSE,0.924,range,TRUE,39061025500,0.24986566362170876,0.7864010989010989,34514,0.20205632543585159,0.25588697017268447,0.13722763096893834,0.504403820004468,39.155716,-84.462985,390610255002,156,102,114,59,241,49,164,203,161,104
14900120025,2388 MARYLAND AV CINCINNATI OH 45204,FALSE,FALSE,0.922,range,TRUE,39061009600,0.2245005257623554,0.8114224137931034,34386,0.12854847348687734,0.2579003749330477,0.1937261551504875,0.4733412833599715,39.103255,-84.554964,390610096001,144,162,383,72,286,117,141,271,105,136
59500020243,1532 SOUTHRIDGE LN NORTH COLLEGE HILL OH 45231,FALSE,FALSE,0.77,range,TRUE,39061021801,0.17186963979416808,0.9147920927062031,38389,0.15121000487250283,0.22121162904011693,0.07869785082174463,0.409967296073414,39.222116,-84.546861,390610218015,126,84,129,107,159,47,133,92,146,118
60800100075,4104 CARRIAGELITE DR SHARONVILLE OH 45241,FALSE,FALSE,0.845,street,TRUE,39061023001,0.14158462259728083,0.8668573244359707,42349,0.17166333555407506,0.20497446147013101,0.017050691244239632,0.40626700969613655,39.274959,-84.39074,390610230011,208,114,129,62,221,76,222,206,239,120
51001010270,3657 VERNIER DR COLERAIN TOWNSHIP OH 45251,FALSE,FALSE,0.735,range,TRUE,39061020701,0.08044733044733045,0.8607220359045177,61206,0.11232279171210469,0.14229086932750137,0.09114754098360656,0.3439553449366651,39.24134,-84.599597,390610207012,169,103,66,207,148,68,179,117,209,76
2200040012,1307 DILLON AV CINCINNATI OH 45208,FALSE,FALSE,0.922,range,TRUE,39061004800,0.006934812760055479,0.9795373665480427,108710,0.01612403100775194,0.026976744186046512,0.017041581458759374,0.16719655294622138,39.132608,-84.416917,390610048001,131,75,90,255,79,44,139,160,144,47
55000640056,4370 AIRYMONT CT GREEN TOWNSHIP OH 45211,FALSE,FALSE,0.76,range,TRUE,39061020802,0.034328358208955224,0.9405176704828273,74387,0.051885160843998614,0.06572120373573158,0.024745269286754003,0.24598390819390992,39.167463,-84.596113,390610208021,98,42,38,81,52,32,106,117,112,34
59600100129,11 ALBION LN GLENDALE OH 45246,FALSE,FALSE,0.946,range,TRUE,39061022400,0.03211517165005537,0.9608452454940957,95451,0.026785714285714284,0.04622641509433962,0.09154929577464789,0.21142429157597437,39.267424,-84.452977,390610224001,160,65,38,47,138,37,174,87,209,98
67100160157,2152 BOLSER DR READING OH 45215,FALSE,FALSE,0.943,range,TRUE,39061023222,0.1507996953541508,0.7993772241992882,44336,0.07376453488372094,0.07085755813953488,0.0380952380952381,0.3590116380532744,39.222482,-84.427354,390610232223,52,20,19,59,20,13,57,107,47,20
54001200027,6513 RAPID RUN RD DELHI TOWNSHIP OH 45233,FALSE,FALSE,0.758,range,TRUE,39061021302,0.003948667324777887,0.9343976053878773,79531,0.04593701061423351,0.04071689577170698,0.01983551040154814,0.22494816519806154,39.111958,-84.667418,390610213024,46,20,20,26,35,12,50,33,59,15
60000930179,5849 BAYBERRY DR SYCAMORE TOWNSHIP OH 45242,FALSE,FALSE,0.748,range,TRUE,39061024001,0.03795233892321271,0.9660834454912517,61474,0.08143828960155491,0.07764098490865766,0.0936,0.2756227744628455,39.216002,-84.371319,390610240011,80,31,24,76,60,12,88,77,99,17
02040A150084,1628 MINION AV CINCINNATI OH 45205,FALSE,FALSE,0.922,range,TRUE,39061009200,0.4254498714652956,0.706959706959707,18629,0.22876901798063623,0.5610230747845427,0.26430260047281323,0.6954818229476102,39.117415,-84.576036,390610092003,203,262,549,256,360,215,194,435,128,174
